Sequence ID	Length	No. TM Domains
OR14C746P_GCA_026826555.1_Tolypeutes_matacus	303	7	Complete
OR14AAH1_GCF_015852505.1_Tachyglossus_aculeatus	338	7	Complete
OR14C1375_GCF_000803125.2_Camelus_dromedarius	311	7	Complete
OR14K67_GCF_022682495.1_Desmodus_rotundus	316	7	Complete
OR14P117_GCF_004348235.1_Phoca_vitulina	311	7	Complete
OR14UF2P_GCF_015852505.1_Tachyglossus_aculeatus	138	3	Partial
OR14J427P_GCF_000622305.1_Nannospalax_galili	313	7	Complete
OR14KY459P_GCF_015852505.1_Tachyglossus_aculeatus	150	4	Partial
OR14A625_GCA_907169655.1_Acomys_percivali	336	7	Complete
OR14HQ1P_GCA_019843965.1_Rhynchomys_soricoides	107	2	Partial
